event_cause,zone,junction,police_station,veh_type,latitude,longitude,duration_minutes,requires_road_closure
vehicle_breakdown,Unknown,Unknown,Peenya,lcv,13.0400041,77.5180991,154,0
vehicle_breakdown,Unknown,Unknown,HSR Layout,heavy_vehicle,12.9218755,77.6451585,10,0
tree_fall,Unknown,Unknown,Sadashivanagar,Unknown,13.0061469,77.5794348,9465,1
vehicle_breakdown,Unknown,LalbaghMainGateJunc,Wilson Garden,private_bus,12.95398,77.5852333,39,0
accident,North Zone 1,Unknown,Hebbala,Unknown,13.0664854,77.5998755,88,0
vehicle_breakdown,Unknown,Unknown,Kengeri,bmtc_bus,12.9328703,77.4879814,129,0
public_event,Unknown,QueensStatueCircle,Cubbon Park,Unknown,12.97883573,77.59953728,720,0
vehicle_breakdown,Unknown,Unknown,Hennuru,lcv,13.0373543,77.6540442,130,0
vehicle_breakdown,Unknown,MysoreRd-RingRdJunc(Nayandanahallii),Byatarayanapura,private_car,12.94457,77.5274017,135,0
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.9233517,77.5904883,293,0
vehicle_breakdown,Unknown,Unknown,Sadashivanagar,ksrtc_bus,13.0001393,77.5840594,167,0
vehicle_breakdown,Unknown,Unknown,Madiwala,heavy_vehicle,12.9071221,77.6286395,27,0
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.927375,77.5806883,2929,1
tree_fall,Unknown,Unknown,Wilson Garden,Unknown,12.9463911,77.597326,843,1
vehicle_breakdown,Unknown,Unknown,Mico Layout,bmtc_bus,12.9077383,77.6005709,143,0
vehicle_breakdown,Unknown,Unknown,Mico Layout,bmtc_bus,12.907814,77.6006561,148,1
vehicle_breakdown,Unknown,Unknown,J.P. Nagar,lcv,12.8955737,77.5993711,172,0
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.92757,77.5832051,2908,0
congestion,Unknown,Unknown,Kodigehalli,Unknown,13.044697,77.5828546,178,0
vehicle_breakdown,Unknown,Unknown,Magadi Road,bmtc_bus,12.9789228,77.5644032,138,0
accident,Unknown,Unknown,Electronic City,Unknown,12.8636494,77.6725849,343,0
vehicle_breakdown,Unknown,Unknown,Mico Layout,heavy_vehicle,12.9219483,77.6002467,141,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,bmtc_bus,12.9465079,77.6986339,177,0
vehicle_breakdown,Unknown,Unknown,Chikkabanavara,lcv,13.0467058,77.5036495,126,0
vehicle_breakdown,West Zone 1,Peenya14thCrossJunc,Peenya,bmtc_bus,13.0166142,77.5054464,48436,0
vehicle_breakdown,Unknown,Unknown,Yeshwanthpura,lcv,13.0309717,77.5364661,122,0
tree_fall,Unknown,Unknown,High ground,Unknown,12.9938639,77.5844374,1829,0
vehicle_breakdown,Unknown,Unknown,Bellandur,bmtc_bus,12.9188682,77.6687736,56,0
congestion,Unknown,Unknown,Jeevanbheemanagar,Unknown,12.9546127,77.6423399,169,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,lcv,12.936133,77.5187044,142,0
vehicle_breakdown,Unknown,Unknown,High ground,private_car,12.9849833,77.5883633,69,0
vehicle_breakdown,Unknown,Unknown,Malleshwaram,truck,13.0127301,77.5545135,173,0
vehicle_breakdown,Unknown,Unknown,Devanahalli Airport,heavy_vehicle,13.2644465,77.7187627,179,1
vehicle_breakdown,Unknown,Unknown,Mahadevapura,private_car,12.9848257,77.7527586,36,0
tree_fall,Unknown,Unknown,High ground,Unknown,12.9932986,77.5837571,1819,0
tree_fall,Unknown,Unknown,High ground,Unknown,12.9937523,77.5842482,1823,0
tree_fall,Unknown,Unknown,High ground,Unknown,12.9938868,77.5841876,1826,0
vehicle_breakdown,Unknown,Unknown,HAL Old Airport,private_car,12.9368467,77.6928653,11,0
tree_fall,Unknown,Unknown,Malleshwaram,Unknown,13.0126766,77.5581246,22125,1
vehicle_breakdown,Unknown,Unknown,Jnanabharathi,bmtc_bus,12.9513113,77.4994888,83,0
vehicle_breakdown,Unknown,Unknown,Peenya,bmtc_bus,13.0160964,77.5068555,134,0
tree_fall,Unknown,Unknown,J.P. Nagar,Unknown,12.9165983,77.583705,321,0
vehicle_breakdown,Unknown,Unknown,Vijayanagara,bmtc_bus,12.9740913,77.5452252,44,0
vehicle_breakdown,Unknown,Unknown,Vijayanagara,bmtc_bus,12.9740971,77.5449011,42,0
vehicle_breakdown,Unknown,Unknown,Chamarajpet,auto,12.9688926,77.569795,26,0
vehicle_breakdown,Unknown,Unknown,V.V.Puram (C.Pet),lcv,12.9511354,77.5739687,176,0
vehicle_breakdown,Unknown,Unknown,Rajajinagar,others,13.0192138,77.5395595,145,0
vehicle_breakdown,Unknown,Unknown,Bellandur,bmtc_bus,12.9284355,77.6811918,137,1
vehicle_breakdown,Unknown,Unknown,No Police Station,heavy_vehicle,13.0753282,77.4370383,132,0
vehicle_breakdown,Unknown,Unknown,Devanahalli Airport,heavy_vehicle,13.2673624,77.7195893,132,0
tree_fall,Unknown,Unknown,Pulikeshinagar(F.Town),Unknown,12.9873133,77.6163481,117,0
vehicle_breakdown,Unknown,Unknown,Electronic City,lcv,12.8482637,77.6713737,83,0
vehicle_breakdown,Unknown,Unknown,Ashok Nagar,bmtc_bus,12.96672,77.6093294,53,0
vehicle_breakdown,Unknown,Unknown,Banaswadi,private_bus,13.0253205,77.6400845,75,0
vehicle_breakdown,Unknown,Unknown,Electronic City,heavy_vehicle,12.8561783,77.6645205,7,0
vehicle_breakdown,Unknown,Unknown,Magadi Road,lcv,12.974757,77.5657216,133,0
vehicle_breakdown,Unknown,Unknown,Halasuru Gate,bmtc_bus,12.9640011,77.5836093,170,0
vehicle_breakdown,Unknown,Unknown,Byatarayanapura,heavy_vehicle,12.9480512,77.5343585,48,0
vehicle_breakdown,Unknown,Unknown,Bellandur,bmtc_bus,12.9245654,77.6739287,125,0
tree_fall,Unknown,Unknown,R.T. Nagar,Unknown,13.0078566,77.5920655,9,0
tree_fall,Unknown,Unknown,Malleshwaram,Unknown,13.0035862,77.5721203,11,1
tree_fall,Unknown,Unknown,Jayanagara,Unknown,12.9272622,77.5806774,5,1
tree_fall,Unknown,Unknown,Sadashivanagar,Unknown,13.0022504,77.5722138,8761,1
tree_fall,Unknown,Unknown,Chamarajpet,Unknown,12.9586724,77.5629452,13246,1
vehicle_breakdown,Unknown,Unknown,Hebbala,truck,13.0369808,77.5895122,145,0
vehicle_breakdown,Unknown,Unknown,Jayanagara,bmtc_bus,12.9169077,77.5737827,133,0
